unit,idx,theme,ja,originalJa,en,ipa,audioUrl,id
1,1,"日常","子ども料金はいくらですか？","子供料金はいくらですか？","How much is it for a child?","/haʊ mʌtʃ ɪz ɪt fər ə tʃaɪld/","https://www.eight-english.com/wp-content/uploads/2026/03/How-much-is-it-for-a-child.wav","phrase_001"
1,2,"日常","すみません、今日はあまり時間がないので、少し考えさせてください。","すみません、今日は時間がないので少し考えます。","Sorry, I don’t have much time today, so let me think about it.","/ˈsɑri, aɪ doʊnt hæv mʌtʃ taɪm təˈdeɪ, soʊ lɛt mi θɪŋk əˈbaʊt ɪt/","https://www.eight-english.com/wp-content/uploads/2026/03/Sorry-I-dont-have-much-time-today-so-let-me-think-about-it..wav","phrase_002"
1,3,"日常","何時に終わりますか？","何時に終わりますか？","What time does it end?","/wʌt taɪm dʌz ɪt ɛnd/","https://www.eight-english.com/wp-content/uploads/2026/03/What-time-does-it-end.wav","phrase_003"
1,4,"日常","今、始まるところですか？","今すぐそれは始まりますか？","Is it starting now?","/ɪz ɪt ˈstɑrtɪŋ naʊ/","https://www.eight-english.com/wp-content/uploads/2026/03/Is-it-starting-now.wav","phrase_004"
1,5,"日常","さっき座っていたベンチにフェイスマスクを置き忘れました。まだそこにあるか、無線で確認していただけますか。","フェイスマスクをさっきいたベンチに忘れてしまいました。無線でそこに落ちているか確認していただくことはできますか？","I left my face mask on the bench where I was sitting earlier. Could you please check over the radio if it’s still there?","/aɪ lɛft maɪ feɪs mæsk ɑn ðə bɛntʃ wɛr aɪ wəz ˈsɪtɪŋ ˈɝliər. kʊd ju pliz tʃɛk ˈoʊvɚ ðə ˈreɪdioʊ ɪf ɪts stɪl ðɛr/","https://www.eight-english.com/wp-content/uploads/2026/03/I-left-my-face-mask-on-the-bench-where-I-was-sitting-earlier.-Could-you-please-check-over-the-radio-if-its-still-there.wav","phrase_005"
1,6,"日常","またあとで来ます。","後で戻ってきます","I’ll come back later.","/aɪl kʌm bæk ˈleɪtɚ/","https://www.eight-english.com/wp-content/uploads/2026/03/Ill-come-back-later..wav","phrase_006"
1,7,"日常","6時ごろに息子さんを家まで送ります。それで大丈夫ですか。","6時頃に家に息子さんを届けますね？","I’ll bring your son home around 6. Is that okay?","/aɪl brɪŋ jɚ sʌn hoʊm əˈraʊnd sɪks. ɪz ðæt oʊˈkeɪ/","https://www.eight-english.com/wp-content/uploads/2026/03/Ill-bring-your-son-home-around-6.-Is-that-okay.wav","phrase_007"
1,8,"日常","私たちは釣りに行く予定です。","釣りに行く予定です","We’re planning to go fishing.","/wɪr ˈplænɪŋ tə ɡoʊ ˈfɪʃɪŋ/","https://www.eight-english.com/wp-content/uploads/2026/03/Were-planning-to-go-fishing..wav","phrase_008"
1,9,"日常","今日は行けませんでしたが、今週の土曜日にそこへ行く予定です。","今日はいけなかったけど、今週の土曜日にそこにいく予定です","We couldn’t go today, but we’re planning to go there this Saturday.","/wi ˈkʊdnt ɡoʊ təˈdeɪ, bət wɪr ˈplænɪŋ tə ɡoʊ ðɛr ðɪs ˈsætɚdeɪ/","https://www.eight-english.com/wp-content/uploads/2026/03/We-couldnt-go-today-but-were-planning-to-go-there-this-Saturday..wav","phrase_009"
1,10,"日常","前はどんな犬を飼っていたんですか？","どんな種類の犬を飼っていたの？","What kind of dog did you have before?","/wʌt kaɪnd əv dɔɡ dɪd ju hæv bɪˈfɔr/","https://www.eight-english.com/wp-content/uploads/2026/03/What-kind-of-dog-did-you-have-before.wav","phrase_010"
2,1,車・修理,前のタイヤがパンクしてしまいました。,私の車の前タイヤがパンクしてしまいました。,My front tire went flat.,/maɪ frʌnt ˈtaɪɚ wɛnt flæt/,https://www.eight-english.com/wp-content/uploads/2026/03/My-front-tire-went-flat..wav,phrase_001
2,2,車・修理,今からそちらに伺おうと思うのですが、修理していただけますか？,今からそちらに行きます。修理していただけますか？,I’m thinking of heading over now. Would you be able to fix it?,/aɪm ˈθɪŋkɪŋ əv ˈhɛdɪŋ ˈoʊvɚ naʊ. wʊd ju bi ˈeɪbəl tə fɪks ɪt/,https://www.eight-english.com/wp-content/uploads/2026/03/Im-thinking-of-heading-over-now.-Would-you-be-able-to-fix-it.wav,phrase_002
2,3,車・修理,どうしてこうなったかわかりますか？,どうしてこうなったかわかりますか？,Do you know what caused it?,/du ju noʊ wʌt kɔzd ɪt/,https://www.eight-english.com/wp-content/uploads/2026/03/Do-you-know-what-caused-it.wav,phrase_003
2,4,車・修理,今朝、いつも通り息子を学校に送っている時に、突然ガクンと衝撃を感じました。,今朝、いつも通り息子を学校に送っている時に、突然ガクンと衝撃を感じました。,"This morning, I was driving my son to school as usual when I suddenly felt a big jolt.","/ðɪs ˈmɔrnɪŋ aɪ wəz ˈdraɪvɪŋ maɪ sʌn tə skul æz ˈjuʒuəl wɛn aɪ ˈsʌdənli fɛlt ə bɪɡ dʒoʊlt/",https://www.eight-english.com/wp-content/uploads/2026/03/This-morning-I-was-driving-my-son-to-school-as-usual-when-I-suddenly-felt-a-big-jolt..wav,phrase_004
